,price,model_year,manufacturer,model,date_posted,days_listed,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,age
449,4995,2001,subaru,forester,2019-04-06,53,excellent,4.0,gas,109021,automatic,SUV,grey,1.0,23
451,8995,2009,buick,enclave,2018-06-10,25,excellent,6.0,gas,124567,automatic,SUV,purple,1.0,15
456,3995,2001,bmw,x5,2019-02-27,60,excellent,8.0,gas,190108,automatic,SUV,white,1.0,23
457,18000,2006,ram,3500,2019-04-14,69,good,6.0,diesel,169847,automatic,truck,silver,1.0,18
461,27000,2015,ram,2500,2019-04-03,120,excellent,8.0,gas,62500,automatic,truck,blue,1.0,9
463,7500,2007,chevrolet,suburban,2018-12-19,34,good,8.0,gas,251285,automatic,SUV,other,1.0,17
465,14900,2005,ford,f-250,2018-05-09,101,excellent,8.0,gas,79355,automatic,pickup,other,1.0,19
467,6495,2002,toyota,4runner,2018-05-20,16,excellent,6.0,gas,250398,automatic,SUV,other,1.0,22
468,29667,2013,ford,f-150,2019-03-04,15,excellent,8.0,gas,41350,automatic,pickup,black,1.0,11
469,3800,2002,gmc,yukon,2019-03-02,23,good,8.0,gas,202000,automatic,SUV,other,1.0,22
471,21900,2013,ford,f-250 sd,2018-06-14,5,good,6.0,diesel,243000,automatic,truck,white,1.0,11
474,18998,2011,ram,3500,2019-03-25,23,good,6.0,diesel,245000,automatic,pickup,red,1.0,13
484,30900,2013,gmc,sierra 2500hd,2018-11-18,51,good,8.0,diesel,105808,automatic,truck,white,1.0,11
487,11995,2009,chevrolet,silverado 1500,2019-01-29,28,good,8.0,gas,142498,automatic,pickup,grey,1.0,15
495,2500,2001,jeep,grand cherokee,2018-11-22,49,good,6.0,gas,242688,automatic,SUV,other,1.0,23
499,14900,2014,jeep,grand cherokee laredo,2018-07-22,49,good,6.0,gas,30235,automatic,SUV,brown,1.0,10
500,6150,2005,ford,explorer,2018-05-08,33,good,8.0,gas,111850,automatic,SUV,other,1.0,19
501,6300,2003,toyota,rav4,2018-09-16,24,excellent,4.0,gas,107,automatic,SUV,red,1.0,21
503,25000,2010,ram,3500,2018-06-09,11,good,6.0,diesel,212762,automatic,truck,silver,1.0,14
505,32000,2017,chevrolet,silverado,2019-04-08,74,like new,8.0,gas,29613,automatic,truck,white,1.0,7
506,8500,2000,gmc,sierra 1500,2018-08-08,63,good,8.0,gas,161555,automatic,truck,other,1.0,24
512,16995,2015,jeep,wrangler,2019-04-13,7,like new,6.0,gas,120000,automatic,truck,other,1.0,9
516,21999,2005,ram,2500,2018-10-09,44,good,6.0,diesel,99784,automatic,truck,black,1.0,19
519,5500,2012,nissan,frontier,2018-05-20,9,salvage,6.0,gas,120000,automatic,truck,white,1.0,12
523,16900,2013,ford,explorer,2019-02-11,42,good,6.0,gas,75239,automatic,SUV,other,1.0,11
527,19988,2011,jeep,wrangler,2018-10-26,13,good,6.0,gas,116049,manual,SUV,white,1.0,13
529,11480,2013,chevrolet,silverado 1500,2018-07-11,20,good,8.0,gas,200557,automatic,truck,other,1.0,11
532,19988,2010,gmc,sierra 1500,2019-02-16,54,good,8.0,gas,183917,automatic,truck,black,1.0,14
536,46988,2018,ford,f-250 sd,2018-07-08,16,good,8.0,gas,18312,automatic,truck,white,1.0,6
